dir,base,name,offset,rom_addr,usize,method,csize
0x0460540,0x470000,SCB61EA.MAP,0x2E74E8,0x07574E8,0x2000,0x2200,0xB11
0x0460540,0x470000,SCG01EA.MAP,0x2E7FFA,0x0757FFA,0x2000,0x2200,0x66D
0x0460540,0x470000,SCG02EA.MAP,0x2E8668,0x0758668,0x2000,0x2200,0x651
0x0460540,0x470000,SCG03EA.MAP,0x2E8CBA,0x0758CBA,0x2000,0x2200,0x5F4
0x0460540,0x470000,SCG04EA.MAP,0x2E92AE,0x07592AE,0x2000,0x2200,0x918
0x0460540,0x470000,SCG04WA.MAP,0x2E9BC6,0x0759BC6,0x2000,0x2200,0x9F7
0x0460540,0x470000,SCG04WB.MAP,0x2EA5BE,0x075A5BE,0x2000,0x2200,0x8A1
0x0460540,0x470000,SCG05EA.MAP,0x2EAE60,0x075AE60,0x2000,0x2200,0x6DA
0x0460540,0x470000,SCG05EB.MAP,0x2EB53A,0x075B53A,0x2000,0x2200,0x837
0x0460540,0x470000,SCG05WA.MAP,0x2EBD72,0x075BD72,0x2000,0x2200,0x6DA
0x0460540,0x470000,SCG05WB.MAP,0x2EC44C,0x075C44C,0x2000,0x2200,0x6A2
0x0460540,0x470000,SCG06EA.MAP,0x2ECAEE,0x075CAEE,0x2000,0x2200,0xA46
0x0460540,0x470000,SCG07EA.MAP,0x2ED534,0x075D534,0x2000,0x2200,0xA30
0x0460540,0x470000,SCG08EA.MAP,0x2EDF64,0x075DF64,0x2000,0x2200,0x747
